icon_name,description
aws-athena,An icon named 'aws-athena' used in the Eraser.io interface for related functionality.
aws-cloudsearch,An icon named 'aws-cloudsearch' used in the Eraser.io interface for related functionality.
aws-emr,An icon named 'aws-emr' used in the Eraser.io interface for related functionality.
aws-finspace,An icon named 'aws-finspace' used in the Eraser.io interface for related functionality.
aws-kinesis,An icon named 'aws-kinesis' used in the Eraser.io interface for related functionality.
aws-kinesis-data-analytics,An icon named 'aws-kinesis-data-analytics' used in the Eraser.io interface for related functionality.
aws-kinesis-data-streams,An icon named 'aws-kinesis-data-streams' used in the Eraser.io interface for related functionality.
aws-kinesis-firehose,An icon named 'aws-kinesis-firehose' used in the Eraser.io interface for related functionality.
aws-kinesis-video-streams,An icon named 'aws-kinesis-video-streams' used in the Eraser.io interface for related functionality.
aws-managed-streaming-for-apache-kafka,An icon named 'aws-managed-streaming-for-apache-kafka' used in the Eraser.io interface for related functionality.
aws-opensearch-service,An icon named 'aws-opensearch-service' used in the Eraser.io interface for related functionality.
aws-quicksight,An icon named 'aws-quicksight' used in the Eraser.io interface for related functionality.
aws-redshift,An icon named 'aws-redshift' used in the Eraser.io interface for related functionality.
aws-data-exchange,An icon named 'aws-data-exchange' used in the Eraser.io interface for related functionality.
aws-data-pipeline,An icon named 'aws-data-pipeline' used in the Eraser.io interface for related functionality.
aws-glue,An icon named 'aws-glue' used in the Eraser.io interface for related functionality.
aws-glue-databrew,An icon named 'aws-glue-databrew' used in the Eraser.io interface for related functionality.
aws-glue-elastic-views,An icon named 'aws-glue-elastic-views' used in the Eraser.io interface for related functionality.
aws-lake-formation,An icon named 'aws-lake-formation' used in the Eraser.io interface for related functionality.
aws-api-gateway,An icon named 'aws-api-gateway' used in the Eraser.io interface for related functionality.
aws-appflow,An icon named 'aws-appflow' used in the Eraser.io interface for related functionality.
aws-eventbridge,An icon named 'aws-eventbridge' used in the Eraser.io interface for related functionality.
aws-managed-workflows-for-apache-airflow,An icon named 'aws-managed-workflows-for-apache-airflow' used in the Eraser.io interface for related functionality.
aws-mq,An icon named 'aws-mq' used in the Eraser.io interface for related functionality.
aws-simple-notification-service,An icon named 'aws-simple-notification-service' used in the Eraser.io interface for related functionality.
aws-simple-queue-service,An icon named 'aws-simple-queue-service' used in the Eraser.io interface for related functionality.
aws-appsync,An icon named 'aws-appsync' used in the Eraser.io interface for related functionality.
aws-console-mobile-application,An icon named 'aws-console-mobile-application' used in the Eraser.io interface for related functionality.
aws-express-workflows,An icon named 'aws-express-workflows' used in the Eraser.io interface for related functionality.
aws-step-functions,An icon named 'aws-step-functions' used in the Eraser.io interface for related functionality.
aws-managed-blockchain,An icon named 'aws-managed-blockchain' used in the Eraser.io interface for related functionality.
aws-quantum-ledger-database,An icon named 'aws-quantum-ledger-database' used in the Eraser.io interface for related functionality.
aws-alexa-for-business,An icon named 'aws-alexa-for-business' used in the Eraser.io interface for related functionality.
aws-chime,An icon named 'aws-chime' used in the Eraser.io interface for related functionality.
aws-chime-sdk,An icon named 'aws-chime-sdk' used in the Eraser.io interface for related functionality.
aws-chime-voice-connector,An icon named 'aws-chime-voice-connector' used in the Eraser.io interface for related functionality.
aws-connect,An icon named 'aws-connect' used in the Eraser.io interface for related functionality.
aws-honeycode,An icon named 'aws-honeycode' used in the Eraser.io interface for related functionality.
aws-pinpoint,An icon named 'aws-pinpoint' used in the Eraser.io interface for related functionality.
aws-pinpoint-apis,An icon named 'aws-pinpoint-apis' used in the Eraser.io interface for related functionality.
aws-simple-email-service,An icon named 'aws-simple-email-service' used in the Eraser.io interface for related functionality.
aws-workdocs,An icon named 'aws-workdocs' used in the Eraser.io interface for related functionality.
aws-workdocs-sdk,An icon named 'aws-workdocs-sdk' used in the Eraser.io interface for related functionality.
aws-workmail,An icon named 'aws-workmail' used in the Eraser.io interface for related functionality.
aws-application-cost-profiler,An icon named 'aws-application-cost-profiler' used in the Eraser.io interface for related functionality.
aws-billing-conductor,An icon named 'aws-billing-conductor' used in the Eraser.io interface for related functionality.
aws-budgets,An icon named 'aws-budgets' used in the Eraser.io interface for related functionality.
aws-cost-and-usage-report,An icon named 'aws-cost-and-usage-report' used in the Eraser.io interface for related functionality.
aws-cost-explorer,An icon named 'aws-cost-explorer' used in the Eraser.io interface for related functionality.
aws-reserved-instance-reporting,An icon named 'aws-reserved-instance-reporting' used in the Eraser.io interface for related functionality.
aws-savings-plans,An icon named 'aws-savings-plans' used in the Eraser.io interface for related functionality.
aws-ec2,An icon named 'aws-ec2' used in the Eraser.io interface for related functionality.
aws-ec2-auto-scaling,An icon named 'aws-ec2-auto-scaling' used in the Eraser.io interface for related functionality.
aws-ec2-image-builder,An icon named 'aws-ec2-image-builder' used in the Eraser.io interface for related functionality.
aws-ec2-m5n,An icon named 'aws-ec2-m5n' used in the Eraser.io interface for related functionality.
aws-ec2-r5n,An icon named 'aws-ec2-r5n' used in the Eraser.io interface for related functionality.
aws-elastic-container-kubernetes,An icon named 'aws-elastic-container-kubernetes' used in the Eraser.io interface for related functionality.
aws-elastic-container-registry,An icon named 'aws-elastic-container-registry' used in the Eraser.io interface for related functionality.
aws-elastic-container-service,An icon named 'aws-elastic-container-service' used in the Eraser.io interface for related functionality.
aws-genomics-cli,An icon named 'aws-genomics-cli' used in the Eraser.io interface for related functionality.
aws-lightsail,An icon named 'aws-lightsail' used in the Eraser.io interface for related functionality.
aws-app-runner,An icon named 'aws-app-runner' used in the Eraser.io interface for related functionality.
aws-batch,An icon named 'aws-batch' used in the Eraser.io interface for related functionality.
aws-compute-optimizer,An icon named 'aws-compute-optimizer' used in the Eraser.io interface for related functionality.
aws-elastic-beanstalk,An icon named 'aws-elastic-beanstalk' used in the Eraser.io interface for related functionality.
aws-fargate,An icon named 'aws-fargate' used in the Eraser.io interface for related functionality.
aws-lambda,An icon named 'aws-lambda' used in the Eraser.io interface for related functionality.
aws-local-zones,An icon named 'aws-local-zones' used in the Eraser.io interface for related functionality.
aws-nitro-enclaves,An icon named 'aws-nitro-enclaves' used in the Eraser.io interface for related functionality.
aws-outposts-family,An icon named 'aws-outposts-family' used in the Eraser.io interface for related functionality.
aws-outposts-rack,An icon named 'aws-outposts-rack' used in the Eraser.io interface for related functionality.
aws-outposts-servers,An icon named 'aws-outposts-servers' used in the Eraser.io interface for related functionality.
aws-parallelcluster,An icon named 'aws-parallelcluster' used in the Eraser.io interface for related functionality.
aws-serverless-application-repository,An icon named 'aws-serverless-application-repository' used in the Eraser.io interface for related functionality.
aws-thinkbox-deadline,An icon named 'aws-thinkbox-deadline' used in the Eraser.io interface for related functionality.
aws-thinkbox-frost,An icon named 'aws-thinkbox-frost' used in the Eraser.io interface for related functionality.
aws-thinkbox-krakatoa,An icon named 'aws-thinkbox-krakatoa' used in the Eraser.io interface for related functionality.
aws-thinkbox-sequoia,An icon named 'aws-thinkbox-sequoia' used in the Eraser.io interface for related functionality.
aws-thinkbox-stoke,An icon named 'aws-thinkbox-stoke' used in the Eraser.io interface for related functionality.
aws-thinkbox-xmesh,An icon named 'aws-thinkbox-xmesh' used in the Eraser.io interface for related functionality.
aws-wavelength,An icon named 'aws-wavelength' used in the Eraser.io interface for related functionality.
aws-bottlerocket,An icon named 'aws-bottlerocket' used in the Eraser.io interface for related functionality.
aws-elastic-fabric-adapter,An icon named 'aws-elastic-fabric-adapter' used in the Eraser.io interface for related functionality.
aws-nice-dcv,An icon named 'aws-nice-dcv' used in the Eraser.io interface for related functionality.
aws-nice-enginframe,An icon named 'aws-nice-enginframe' used in the Eraser.io interface for related functionality.
aws-vmware-cloud-on-aws,An icon named 'aws-vmware-cloud-on-aws' used in the Eraser.io interface for related functionality.
aws-ecs-anywhere,An icon named 'aws-ecs-anywhere' used in the Eraser.io interface for related functionality.
aws-eks-anywhere,An icon named 'aws-eks-anywhere' used in the Eraser.io interface for related functionality.
aws-eks-cloud,An icon named 'aws-eks-cloud' used in the Eraser.io interface for related functionality.
aws-eks-distro,An icon named 'aws-eks-distro' used in the Eraser.io interface for related functionality.
aws-elastic-kubernetes-service,An icon named 'aws-elastic-kubernetes-service' used in the Eraser.io interface for related functionality.
aws-red-hat-openshift,An icon named 'aws-red-hat-openshift' used in the Eraser.io interface for related functionality.
aws-activate,An icon named 'aws-activate' used in the Eraser.io interface for related functionality.
aws-iq,An icon named 'aws-iq' used in the Eraser.io interface for related functionality.
aws-managed-services,An icon named 'aws-managed-services' used in the Eraser.io interface for related functionality.
aws-professional-services,An icon named 'aws-professional-services' used in the Eraser.io interface for related functionality.
aws-repost,An icon named 'aws-repost' used in the Eraser.io interface for related functionality.
aws-support,An icon named 'aws-support' used in the Eraser.io interface for related functionality.
aws-training-certification,An icon named 'aws-training-certification' used in the Eraser.io interface for related functionality.
aws-aurora,An icon named 'aws-aurora' used in the Eraser.io interface for related functionality.
aws-documentdb,An icon named 'aws-documentdb' used in the Eraser.io interface for related functionality.
aws-dynamodb,An icon named 'aws-dynamodb' used in the Eraser.io interface for related functionality.
aws-elasticache,An icon named 'aws-elasticache' used in the Eraser.io interface for related functionality.
aws-keyspaces,An icon named 'aws-keyspaces' used in the Eraser.io interface for related functionality.
aws-memorydb-for-redis,An icon named 'aws-memorydb-for-redis' used in the Eraser.io interface for related functionality.
aws-neptune,An icon named 'aws-neptune' used in the Eraser.io interface for related functionality.
aws-rds,An icon named 'aws-rds' used in the Eraser.io interface for related functionality.
aws-rds-on-vmware,An icon named 'aws-rds-on-vmware' used in the Eraser.io interface for related functionality.
